draw,repeats,neighbors,max_zone,date,rolling_repeats,rolling_neighbors,rolling_max_zone
100000259,1,1,3,2011-10-29,0.7,1.3,2.8
100000260,2,1,2,2011-10-31,0.8,1.4,2.6
100000261,0,2,2,2011-11-01,0.7,1.4,2.5
100000262,0,1,3,2011-11-02,0.7,1.2,2.5
100000263,0,1,2,2011-11-03,0.6,1.3,2.5
100000264,1,2,3,2011-11-04,0.7,1.4,2.5
100000265,1,1,3,2011-11-05,0.8,1.2,2.5
100000266,2,0,3,2011-11-07,0.9,1.1,2.5
100000267,1,0,3,2011-11-08,1.0,0.9,2.6
100000268,1,3,2,2011-11-09,0.9,1.2,2.6
100000269,2,2,3,2011-11-10,1.0,1.3,2.6
100000270,0,0,2,2011-11-11,0.8,1.2,2.6
100000271,1,1,3,2011-11-12,0.9,1.1,2.7
100000272,1,0,3,2011-11-14,1.0,1.0,2.7
100000273,0,2,3,2011-11-15,1.0,1.1,2.8
100000274,0,0,4,2011-11-16,0.9,0.9,2.9
100000275,0,1,2,2011-11-17,0.8,0.9,2.8
100000276,0,2,3,2011-11-18,0.6,1.1,2.8
100000277,0,1,4,2011-11-19,0.5,1.2,2.9
100000278,1,2,3,2011-11-21,0.5,1.1,3.0
100000279,1,3,3,2011-11-22,0.4,1.2,3.0
100000280,1,0,2,2011-11-23,0.5,1.2,3.0
100000281,0,0,2,2011-11-24,0.4,1.1,2.9
100000282,1,2,3,2011-11-25,0.4,1.3,2.9
100000283,1,1,4,2011-11-26,0.5,1.2,3.0
100000284,0,1,2,2011-11-28,0.5,1.3,2.8
100000285,0,0,3,2011-11-29,0.5,1.2,2.9
100000286,1,0,3,2011-11-30,0.6,1.0,2.9
100000287,0,3,3,2011-12-01,0.6,1.2,2.8
100000288,0,1,2,2011-12-02,0.5,1.1,2.7
100000289,0,1,2,2011-12-03,0.4,0.9,2.6
100000290,0,3,2,2011-12-05,0.3,1.2,2.6
100000291,1,0,3,2011-12-06,0.4,1.2,2.7
100000292,0,2,2,2011-12-07,0.3,1.2,2.6
100000293,1,0,2,2011-12-08,0.3,1.1,2.4
100000294,0,3,3,2011-12-09,0.3,1.3,2.5
100000295,1,0,3,2011-12-10,0.4,1.3,2.5
100000296,0,1,3,2011-12-12,0.3,1.4,2.5
100000297,0,0,3,2011-12-13,0.3,1.1,2.5
100000298,0,0,2,2011-12-14,0.3,1.0,2.5
100000299,1,3,2,2011-12-15,0.4,1.2,2.5
100000300,0,2,3,2011-12-16,0.4,1.1,2.6
100000301,0,1,2,2011-12-17,0.3,1.2,2.5
100000302,2,2,2,2011-12-19,0.5,1.2,2.5
100000303,2,1,3,2011-12-20,0.6,1.3,2.6
100000304,3,0,2,2011-12-21,0.9,1.0,2.5
100000305,0,2,2,2011-12-22,0.8,1.2,2.4
100000306,2,1,2,2011-12-23,1.0,1.2,2.3
100000307,1,1,3,2011-12-24,1.1,1.3,2.3
100000308,0,2,3,2011-12-26,1.1,1.5,2.4
100000309,0,0,3,2011-12-27,1.0,1.2,2.5
100000310,1,3,2,2011-12-28,1.1,1.3,2.4
100000311,1,2,2,2011-12-29,1.2,1.4,2.4
100000312,0,2,2,2011-12-30,1.0,1.4,2.4
100000313,0,1,3,2011-12-31,0.8,1.4,2.4
101000001,1,1,4,2012-01-02,0.6,1.5,2.6
101000002,0,2,2,2012-01-03,0.6,1.5,2.6
101000003,1,0,2,2012-01-04,0.5,1.4,2.6
101000004,0,2,2,2012-01-05,0.4,1.5,2.5
101000005,0,0,2,2012-01-06,0.4,1.3,2.4
101000006,0,2,2,2012-01-07,0.4,1.5,2.3
101000007,0,3,3,2012-01-09,0.3,1.5,2.4
101000008,1,1,2,2012-01-10,0.3,1.4,2.4
101000009,1,2,3,2012-01-11,0.4,1.4,2.5
101000010,1,1,3,2012-01-12,0.5,1.4,2.5
101000011,0,1,2,2012-01-13,0.4,1.4,2.3
101000012,1,2,3,2012-01-14,0.5,1.4,2.4
101000013,1,1,2,2012-01-16,0.5,1.5,2.4
101000014,0,2,2,2012-01-17,0.5,1.5,2.4
101000015,2,1,2,2012-01-18,0.7,1.6,2.4
101000016,2,2,3,2012-01-19,0.9,1.6,2.5
101000017,1,3,3,2012-01-20,1.0,1.6,2.5
101000018,1,1,2,2012-01-21,1.0,1.6,2.5
101000019,1,2,2,2012-01-23,1.0,1.6,2.4
101000020,0,1,4,2012-01-24,0.9,1.6,2.5
101000021,1,0,3,2012-01-25,1.0,1.5,2.6
101000022,1,3,2,2012-01-26,1.0,1.6,2.5
101000023,0,2,2,2012-01-27,0.9,1.7,2.5
101000024,1,0,2,2012-01-28,1.0,1.5,2.5
101000025,0,2,3,2012-01-30,0.8,1.6,2.6
101000026,0,2,2,2012-01-31,0.6,1.6,2.5
101000027,1,1,3,2012-02-01,0.6,1.4,2.5
101000028,0,1,2,2012-02-02,0.5,1.4,2.5
101000029,1,1,2,2012-02-03,0.5,1.3,2.5
101000030,0,1,3,2012-02-04,0.5,1.3,2.4
101000031,1,0,2,2012-02-06,0.5,1.3,2.3
101000032,0,2,2,2012-02-07,0.4,1.2,2.3
101000033,0,0,2,2012-02-08,0.4,1.0,2.3
101000034,0,2,3,2012-02-09,0.3,1.2,2.4
101000035,2,4,2,2012-02-10,0.5,1.4,2.3
101000036,1,1,3,2012-02-11,0.6,1.3,2.4
101000037,0,1,3,2012-02-13,0.5,1.3,2.4
101000038,1,2,3,2012-02-14,0.6,1.4,2.5
101000039,0,1,3,2012-02-15,0.5,1.4,2.6
101000040,0,3,3,2012-02-16,0.5,1.6,2.6
101000041,1,0,3,2012-02-17,0.5,1.6,2.7
101000042,1,2,2,2012-02-18,0.6,1.6,2.7
101000043,0,0,3,2012-02-20,0.6,1.6,2.8
101000044,1,3,2,2012-02-21,0.7,1.7,2.7
101000045,0,2,2,2012-02-22,0.5,1.5,2.7
101000046,0,1,2,2012-02-23,0.4,1.5,2.6
101000047,0,1,3,2012-02-24,0.4,1.5,2.6
101000048,1,2,3,2012-02-25,0.4,1.5,2.6
101000049,2,0,2,2012-02-27,0.6,1.4,2.5
101000050,1,1,3,2012-02-28,0.7,1.2,2.5
101000051,1,1,3,2012-02-29,0.7,1.3,2.5
101000052,0,3,4,2012-03-01,0.6,1.4,2.7
101000053,1,1,2,2012-03-02,0.7,1.5,2.6
101000054,0,0,2,2012-03-03,0.6,1.2,2.6
101000055,1,0,2,2012-03-05,0.7,1.0,2.6
101000056,0,0,4,2012-03-06,0.7,0.9,2.8
101000057,1,1,3,2012-03-07,0.8,0.9,2.8
101000058,2,3,3,2012-03-08,0.9,1.0,2.8
101000059,0,1,3,2012-03-09,0.7,1.1,2.9
101000060,1,1,4,2012-03-10,0.7,1.1,3.0
101000061,2,1,3,2012-03-12,0.8,1.1,3.0
101000062,1,0,3,2012-03-13,0.9,0.8,2.9
101000063,0,0,5,2012-03-14,0.8,0.7,3.2
101000064,0,0,3,2012-03-15,0.8,0.7,3.3
101000065,1,2,2,2012-03-16,0.8,0.9,3.3
101000066,2,0,3,2012-03-17,1.0,0.9,3.2
101000067,0,1,2,2012-03-19,0.9,0.9,3.1
101000068,1,2,3,2012-03-20,0.8,0.8,3.1
101000069,0,1,3,2012-03-21,0.8,0.8,3.1
101000070,0,0,3,2012-03-22,0.7,0.7,3.0
101000071,1,1,3,2012-03-23,0.6,0.7,3.0
101000072,1,1,4,2012-03-24,0.6,0.8,3.1
101000073,1,1,2,2012-03-26,0.7,0.9,2.8
101000074,2,1,3,2012-03-27,0.9,1.0,2.8
101000075,0,1,2,2012-03-28,0.8,0.9,2.8
101000076,0,2,2,2012-03-29,0.6,1.1,2.7
101000077,1,2,4,2012-03-30,0.7,1.2,2.9
101000078,1,1,2,2012-03-31,0.7,1.1,2.8
101000079,0,0,3,2012-04-02,0.7,1.0,2.8
101000080,1,0,3,2012-04-03,0.8,1.0,2.8
101000081,0,1,3,2012-04-04,0.7,1.0,2.8
101000082,0,0,3,2012-04-05,0.6,0.9,2.7
101000083,0,0,3,2012-04-06,0.5,0.8,2.8
101000084,1,1,2,2012-04-07,0.4,0.8,2.7
101000085,0,1,3,2012-04-09,0.4,0.8,2.8
101000086,0,0,2,2012-04-10,0.4,0.6,2.8
101000087,1,3,3,2012-04-11,0.4,0.7,2.7
101000088,1,0,3,2012-04-12,0.4,0.6,2.8
101000089,1,2,3,2012-04-13,0.5,0.8,2.8
101000090,0,2,3,2012-04-14,0.4,1.0,2.8
101000091,1,0,3,2012-04-16,0.5,0.9,2.8
101000092,1,1,3,2012-04-17,0.6,1.0,2.8
101000093,1,1,4,2012-04-18,0.7,1.1,2.9
101000094,1,2,3,2012-04-19,0.7,1.2,3.0
101000095,0,2,2,2012-04-20,0.7,1.3,2.9
101000096,1,1,4,2012-04-21,0.8,1.4,3.1
101000097,0,1,2,2012-04-23,0.7,1.2,3.0
101000098,0,1,2,2012-04-24,0.6,1.3,2.9
101000099,0,2,2,2012-04-25,0.5,1.3,2.8
101000100,1,1,4,2012-04-26,0.6,1.2,2.9
101000101,1,1,3,2012-04-27,0.6,1.3,2.9
101000102,1,0,2,2012-04-28,0.6,1.2,2.8
101000103,1,0,4,2012-04-30,0.6,1.1,2.8
101000104,2,0,3,2012-05-01,0.7,0.9,2.8
101000105,0,1,2,2012-05-02,0.7,0.8,2.8
101000106,0,1,2,2012-05-03,0.6,0.8,2.6
101000107,0,1,2,2012-05-04,0.6,0.8,2.6
101000108,1,2,2,2012-05-05,0.7,0.9,2.6
101000109,2,0,4,2012-05-07,0.9,0.7,2.8
101000110,1,1,2,2012-05-08,0.9,0.7,2.6
101000111,0,2,4,2012-05-09,0.8,0.8,2.7
101000112,1,0,3,2012-05-10,0.8,0.8,2.8
101000113,1,2,3,2012-05-11,0.8,1.0,2.7
101000114,1,1,2,2012-05-12,0.7,1.1,2.6
101000115,2,1,3,2012-05-14,0.9,1.1,2.7
101000116,1,1,3,2012-05-15,1.0,1.1,2.8
101000117,1,1,2,2012-05-16,1.1,1.1,2.8
101000118,0,1,2,2012-05-17,1.0,1.0,2.8
101000119,1,2,3,2012-05-18,0.9,1.2,2.7
101000120,1,1,2,2012-05-19,0.9,1.2,2.7
101000121,0,2,3,2012-05-21,0.9,1.2,2.6
101000122,1,2,2,2012-05-22,0.9,1.4,2.5
101000123,2,2,3,2012-05-23,1.0,1.4,2.5
101000124,1,2,2,2012-05-24,1.0,1.5,2.5
101000125,0,2,2,2012-05-25,0.8,1.6,2.4
101000126,1,0,3,2012-05-26,0.8,1.5,2.4
101000127,0,0,4,2012-05-28,0.7,1.4,2.6
101000128,1,2,2,2012-05-29,0.8,1.5,2.6
101000129,2,0,3,2012-05-30,0.9,1.3,2.6
101000130,1,0,3,2012-05-31,0.9,1.2,2.7
101000131,0,1,3,2012-06-01,0.9,1.1,2.7
101000132,1,0,3,2012-06-02,0.9,0.9,2.8
101000133,0,3,2,2012-06-04,0.7,1.0,2.7
101000134,1,2,3,2012-06-05,0.7,1.0,2.8
101000135,1,0,3,2012-06-06,0.8,0.8,2.9
101000136,0,0,4,2012-06-07,0.7,0.8,3.0
101000137,1,1,3,2012-06-08,0.8,0.9,2.9
101000138,1,1,4,2012-06-09,0.8,0.8,3.1
101000139,0,0,4,2012-06-11,0.6,0.8,3.2
101000140,0,2,2,2012-06-12,0.5,1.0,3.1
101000141,1,1,3,2012-06-13,0.6,1.0,3.1
101000142,1,1,3,2012-06-14,0.6,1.1,3.1
101000143,2,1,3,2012-06-15,0.8,0.9,3.2
101000144,1,2,2,2012-06-16,0.8,0.9,3.1
101000145,1,0,3,2012-06-18,0.8,0.9,3.1
101000146,0,2,3,2012-06-19,0.8,1.1,3.0
101000147,1,1,2,2012-06-20,0.8,1.1,2.9
101000148,1,3,3,2012-06-21,0.8,1.3,2.8
101000149,0,2,4,2012-06-22,0.8,1.5,2.8
101000150,1,1,2,2012-06-23,0.9,1.4,2.8
101000151,0,1,3,2012-06-25,0.8,1.4,2.8
101000152,0,1,3,2012-06-26,0.7,1.4,2.8
101000153,0,0,3,2012-06-27,0.5,1.3,2.8
101000154,0,0,2,2012-06-28,0.4,1.1,2.8
101000155,1,2,3,2012-06-29,0.4,1.3,2.8
101000156,1,1,3,2012-06-30,0.5,1.2,2.8
101000157,1,2,4,2012-07-02,0.5,1.3,3.0
101000158,0,2,2,2012-07-03,0.4,1.2,2.9
101000159,0,0,2,2012-07-04,0.4,1.0,2.7
101000160,0,2,2,2012-07-05,0.3,1.1,2.7
101000161,1,2,2,2012-07-06,0.4,1.2,2.6
101000162,0,2,3,2012-07-07,0.4,1.3,2.6
101000163,0,0,3,2012-07-09,0.4,1.3,2.6
101000164,0,1,3,2012-07-10,0.4,1.4,2.7
101000165,1,1,2,2012-07-11,0.4,1.3,2.6
101000166,0,2,3,2012-07-12,0.3,1.4,2.6
101000167,1,1,4,2012-07-13,0.3,1.3,2.6
101000168,0,0,2,2012-07-14,0.3,1.1,2.6
101000169,0,3,4,2012-07-16,0.3,1.4,2.8
101000170,1,1,3,2012-07-17,0.4,1.3,2.9
101000171,0,0,2,2012-07-18,0.3,1.1,2.9
101000172,1,1,2,2012-07-19,0.4,1.0,2.8
101000173,0,0,3,2012-07-20,0.4,1.0,2.8
101000174,0,3,3,2012-07-21,0.4,1.2,2.8
101000175,0,1,2,2012-07-23,0.3,1.2,2.8
101000176,0,2,4,2012-07-24,0.3,1.2,2.9
101000177,0,0,3,2012-07-25,0.2,1.1,2.8
101000178,0,1,3,2012-07-26,0.2,1.2,2.9
101000179,2,1,2,2012-07-27,0.4,1.0,2.7
101000180,0,2,4,2012-07-28,0.3,1.1,2.8
101000181,0,1,3,2012-07-30,0.3,1.2,2.9
101000182,1,2,2,2012-07-31,0.3,1.3,2.9
101000183,1,1,3,2012-08-01,0.4,1.4,2.9
101000184,0,3,3,2012-08-02,0.4,1.4,2.9
101000185,0,2,3,2012-08-03,0.4,1.5,3.0
101000186,1,2,4,2012-08-04,0.5,1.5,3.0
101000187,0,0,3,2012-08-06,0.5,1.5,3.0
101000188,1,2,3,2012-08-07,0.6,1.6,3.0
101000189,1,2,2,2012-08-08,0.5,1.7,3.0
101000190,0,3,3,2012-08-09,0.5,1.8,2.9
101000191,0,1,2,2012-08-10,0.5,1.8,2.8
101000192,1,1,3,2012-08-11,0.5,1.7,2.9
101000193,1,1,3,2012-08-13,0.5,1.7,2.9
101000194,0,2,3,2012-08-14,0.5,1.6,2.9
101000195,2,1,3,2012-08-15,0.7,1.5,2.9
101000196,1,2,3,2012-08-16,0.7,1.5,2.8
101000197,1,3,3,2012-08-17,0.8,1.8,2.8
101000198,2,2,4,2012-08-18,0.9,1.8,2.9
101000199,1,0,3,2012-08-20,0.9,1.6,3.0
101000200,0,0,3,2012-08-21,0.9,1.3,3.0
101000201,0,1,3,2012-08-22,0.9,1.3,3.1
101000202,0,1,2,2012-08-23,0.8,1.3,3.0
101000203,1,0,2,2012-08-24,0.8,1.2,2.9
101000204,0,2,2,2012-08-25,0.8,1.2,2.8
101000205,0,0,3,2012-08-27,0.6,1.1,2.8
101000206,1,2,3,2012-08-28,0.6,1.1,2.8
101000207,0,0,2,2012-08-29,0.5,0.8,2.7
101000208,1,1,3,2012-08-30,0.4,0.7,2.6
101000209,1,1,3,2012-08-31,0.4,0.8,2.6
101000210,0,2,3,2012-09-01,0.4,1.0,2.6
101000211,0,1,3,2012-09-03,0.4,1.0,2.6
101000212,0,1,4,2012-09-04,0.4,1.0,2.8
101000213,2,0,3,2012-09-05,0.5,1.0,2.9
101000214,0,0,2,2012-09-06,0.5,0.8,2.9
101000215,2,3,4,2012-09-07,0.7,1.1,3.0
101000216,1,1,2,2012-09-08,0.7,1.0,2.9
101000217,2,1,2,2012-09-10,0.9,1.1,2.9
101000218,2,0,3,2012-09-11,1.0,1.0,2.9
101000219,0,0,3,2012-09-12,0.9,0.9,2.9
101000220,1,1,2,2012-09-13,1.0,0.8,2.8
101000221,0,0,2,2012-09-14,1.0,0.7,2.7
101000222,1,1,2,2012-09-15,1.1,0.7,2.5
101000223,0,1,3,2012-09-17,0.9,0.8,2.5
101000224,0,0,4,2012-09-18,0.9,0.8,2.7
101000225,1,1,4,2012-09-19,0.8,0.6,2.7
101000226,0,1,2,2012-09-20,0.7,0.6,2.7
101000227,1,1,3,2012-09-21,0.6,0.6,2.8
101000228,0,3,3,2012-09-22,0.4,0.9,2.8
101000229,1,1,2,2012-09-24,0.5,1.0,2.7
101000230,1,3,4,2012-09-25,0.5,1.2,2.9
101000231,1,1,2,2012-09-26,0.6,1.3,2.9
101000232,1,1,2,2012-09-27,0.6,1.3,2.9
101000233,1,2,3,2012-09-28,0.7,1.4,2.9
101000234,0,2,2,2012-09-29,0.7,1.6,2.7
101000235,1,2,4,2012-10-01,0.7,1.7,2.7
101000236,1,2,2,2012-10-02,0.8,1.8,2.7
101000237,3,2,3,2012-10-03,1.0,1.9,2.7
101000238,1,0,2,2012-10-04,1.1,1.6,2.6
101000239,1,0,3,2012-10-05,1.1,1.5,2.7
101000240,0,0,4,2012-10-06,1.0,1.2,2.7
101000241,1,0,3,2012-10-08,1.0,1.1,2.8
101000242,2,1,2,2012-10-09,1.1,1.1,2.8
101000243,0,2,2,2012-10-10,1.0,1.1,2.7
101000244,3,0,4,2012-10-11,1.3,0.9,2.9
101000245,0,1,3,2012-10-12,1.2,0.8,2.8
101000246,0,1,3,2012-10-13,1.1,0.7,2.9
101000247,1,3,4,2012-10-15,0.9,0.8,3.0
101000248,1,2,2,2012-10-16,0.9,1.0,3.0
101000249,1,1,3,2012-10-17,0.9,1.1,3.0
101000250,0,1,3,2012-10-18,0.9,1.2,2.9
101000251,1,2,2,2012-10-19,0.9,1.4,2.8
101000252,0,0,3,2012-10-20,0.7,1.3,2.9
101000253,1,2,3,2012-10-22,0.8,1.3,3.0
101000254,0,0,2,2012-10-23,0.5,1.3,2.8
101000255,0,0,2,2012-10-24,0.5,1.2,2.7
101000256,0,0,3,2012-10-25,0.5,1.1,2.7
101000257,2,1,2,2012-10-26,0.6,0.9,2.5
101000258,1,1,4,2012-10-27,0.6,0.8,2.7
101000259,1,4,4,2012-10-29,0.6,1.1,2.8
101000260,1,0,3,2012-10-30,0.7,1.0,2.8
101000261,1,1,3,2012-10-31,0.7,0.9,2.9
101000262,1,1,3,2012-11-01,0.8,1.0,2.9
101000263,1,3,2,2012-11-02,0.8,1.1,2.8
101000264,1,1,3,2012-11-03,0.9,1.2,2.9
101000265,0,3,2,2012-11-05,0.9,1.5,2.9
101000266,1,2,2,2012-11-06,1.0,1.7,2.8
101000267,1,0,2,2012-11-07,0.9,1.6,2.8
101000268,3,2,3,2012-11-08,1.1,1.7,2.7
101000269,0,2,2,2012-11-09,1.0,1.5,2.5
101000270,2,1,2,2012-11-10,1.1,1.6,2.4
101000271,1,1,2,2012-11-12,1.1,1.6,2.3
101000272,1,1,2,2012-11-13,1.1,1.6,2.2
101000273,0,1,3,2012-11-14,1.0,1.4,2.3
101000274,0,2,4,2012-11-15,0.9,1.5,2.4
101000275,1,0,2,2012-11-16,1.0,1.2,2.4
101000276,1,0,2,2012-11-17,1.0,1.0,2.4
101000277,0,1,3,2012-11-19,0.9,1.1,2.5
101000278,1,0,2,2012-11-20,0.7,0.9,2.4
101000279,0,3,2,2012-11-21,0.7,1.0,2.4
101000280,1,0,3,2012-11-22,0.6,0.9,2.5
101000281,1,0,2,2012-11-23,0.6,0.8,2.5
101000282,0,2,4,2012-11-24,0.5,0.9,2.7
101000283,1,1,2,2012-11-26,0.6,0.9,2.6
101000284,1,2,3,2012-11-27,0.7,0.9,2.5
101000285,1,1,2,2012-11-28,0.7,1.0,2.5
101000286,1,0,3,2012-11-29,0.7,1.0,2.6
101000287,1,1,3,2012-11-30,0.8,1.0,2.6
101000288,0,1,2,2012-12-01,0.7,1.1,2.6
101000289,0,3,3,2012-12-03,0.7,1.1,2.7
101000290,0,0,3,2012-12-04,0.6,1.1,2.7
101000291,2,0,4,2012-12-05,0.7,1.1,2.9
101000292,1,0,2,2012-12-06,0.8,0.9,2.7
101000293,0,2,2,2012-12-07,0.7,1.0,2.7
101000294,3,1,2,2012-12-08,0.9,0.9,2.6
101000295,1,1,3,2012-12-10,0.9,0.9,2.7
101000296,0,0,2,2012-12-11,0.8,0.9,2.6
101000297,1,1,3,2012-12-12,0.8,0.9,2.6
101000298,2,1,2,2012-12-13,1.0,0.9,2.6
101000299,0,1,2,2012-12-14,1.0,0.7,2.5
101000300,0,1,2,2012-12-15,1.0,0.8,2.4
101000301,1,1,2,2012-12-17,0.9,0.9,2.2
101000302,0,2,3,2012-12-18,0.8,1.1,2.3
101000303,0,1,2,2012-12-19,0.8,1.0,2.3
101000304,0,3,2,2012-12-20,0.5,1.2,2.3
101000305,0,2,3,2012-12-21,0.4,1.3,2.3
101000306,0,1,3,2012-12-22,0.4,1.4,2.4
101000307,1,0,2,2012-12-24,0.4,1.3,2.3
101000308,1,3,2,2012-12-25,0.3,1.5,2.3
101000309,0,1,2,2012-12-26,0.3,1.5,2.3
101000310,1,2,3,2012-12-27,0.4,1.6,2.4
101000311,2,1,3,2012-12-28,0.5,1.6,2.5
101000312,1,1,2,2012-12-29,0.6,1.5,2.4
101000313,0,0,2,2012-12-31,0.6,1.4,2.4
102000001,1,2,3,2013-01-01,0.7,1.3,2.5
102000002,2,0,2,2013-01-02,0.9,1.1,2.4
102000003,1,1,2,2013-01-03,1.0,1.1,2.3
102000004,0,1,4,2013-01-04,0.9,1.2,2.5
102000005,0,2,2,2013-01-05,0.8,1.1,2.5
102000006,1,0,3,2013-01-07,0.9,1.0,2.6
102000007,1,2,2,2013-01-08,0.9,1.0,2.5
102000008,2,0,3,2013-01-09,0.9,0.9,2.5
102000009,0,1,2,2013-01-10,0.8,0.9,2.5
102000010,1,0,3,2013-01-11,0.9,0.9,2.6
102000011,0,2,2,2013-01-12,0.8,0.9,2.5
102000012,1,0,4,2013-01-14,0.7,0.9,2.7
102000013,1,1,3,2013-01-15,0.7,0.9,2.8
102000014,1,2,2,2013-01-16,0.8,1.0,2.6
102000015,0,0,2,2013-01-17,0.8,0.8,2.6
102000016,0,2,3,2013-01-18,0.7,1.0,2.6
102000017,2,2,2,2013-01-19,0.8,1.0,2.6
102000018,0,0,3,2013-01-21,0.6,1.0,2.6
102000019,1,1,3,2013-01-22,0.7,1.0,2.7
102000020,0,2,2,2013-01-23,0.6,1.2,2.6
102000021,1,2,3,2013-01-24,0.7,1.2,2.7
102000022,0,0,3,2013-01-25,0.6,1.2,2.6
102000023,2,2,2,2013-01-26,0.7,1.3,2.5
102000024,1,0,3,2013-01-28,0.7,1.1,2.6
102000025,1,1,2,2013-01-29,0.8,1.2,2.6
102000026,2,0,3,2013-01-30,1.0,1.0,2.6
102000027,1,1,3,2013-01-31,0.9,0.9,2.7
102000028,1,1,2,2013-02-01,1.0,1.0,2.6
102000029,0,1,3,2013-02-02,0.9,1.0,2.6
102000030,0,0,4,2013-02-04,0.9,0.8,2.8
102000031,1,3,3,2013-02-05,0.9,0.9,2.8
102000032,1,1,3,2013-02-06,1.0,1.0,2.8
102000033,2,0,2,2013-02-07,1.0,0.8,2.8
102000034,1,2,4,2013-02-08,1.0,1.0,2.9
102000035,0,1,3,2013-02-09,0.9,1.0,3.0
102000036,0,1,3,2013-02-11,0.7,1.1,3.0
102000037,0,1,3,2013-02-12,0.6,1.1,3.0
102000038,1,0,3,2013-02-13,0.6,1.0,3.1
102000039,1,2,2,2013-02-14,0.7,1.1,3.0
102000040,1,3,2,2013-02-15,0.8,1.4,2.8
102000041,1,0,2,2013-02-16,0.8,1.1,2.7
102000042,2,0,3,2013-02-18,0.9,1.0,2.7
102000043,1,2,3,2013-02-19,0.8,1.2,2.8
102000044,2,2,3,2013-02-20,0.9,1.2,2.7
102000045,0,0,2,2013-02-21,0.9,1.1,2.6
102000046,0,1,2,2013-02-22,0.9,1.1,2.5
102000047,0,2,2,2013-02-23,0.9,1.2,2.4
102000048,1,2,4,2013-02-25,0.9,1.4,2.5
102000049,0,1,3,2013-02-26,0.8,1.3,2.6
102000050,0,2,2,2013-02-27,0.7,1.2,2.6
102000051,0,2,3,2013-02-28,0.6,1.4,2.7
102000052,1,0,3,2013-03-01,0.5,1.4,2.7
102000053,1,2,3,2013-03-02,0.5,1.4,2.7
102000054,1,1,3,2013-03-04,0.4,1.3,2.7
102000055,0,1,3,2013-03-05,0.4,1.4,2.8
102000056,1,1,2,2013-03-06,0.5,1.4,2.8
102000057,0,1,3,2013-03-07,0.5,1.3,2.9
102000058,0,1,3,2013-03-08,0.4,1.2,2.8
102000059,1,2,2,2013-03-09,0.5,1.3,2.7
102000060,0,3,2,2013-03-11,0.5,1.4,2.7
102000061,1,2,2,2013-03-12,0.6,1.4,2.6
102000062,0,2,3,2013-03-13,0.5,1.6,2.6
102000063,0,1,2,2013-03-14,0.4,1.5,2.5
102000064,1,1,2,2013-03-15,0.4,1.5,2.4
102000065,0,0,3,2013-03-16,0.4,1.4,2.4
102000066,0,2,2,2013-03-18,0.3,1.5,2.4
102000067,1,2,2,2013-03-19,0.4,1.6,2.3
102000068,0,2,2,2013-03-20,0.4,1.7,2.2
102000069,0,2,2,2013-03-21,0.3,1.7,2.2
102000070,1,1,2,2013-03-22,0.4,1.5,2.2
102000071,0,1,2,2013-03-23,0.3,1.4,2.2
102000072,1,2,2,2013-03-25,0.4,1.4,2.1
102000073,0,0,3,2013-03-26,0.4,1.3,2.2
102000074,1,1,2,2013-03-27,0.4,1.3,2.2
102000075,1,1,3,2013-03-28,0.5,1.4,2.2
102000076,0,1,3,2013-03-29,0.5,1.3,2.3
102000077,1,1,3,2013-03-30,0.5,1.2,2.4
102000078,0,0,3,2013-04-01,0.5,1.0,2.5
102000079,1,1,2,2013-04-02,0.6,0.9,2.5
102000080,0,0,3,2013-04-03,0.5,0.8,2.6
102000081,1,1,3,2013-04-04,0.6,0.8,2.7
102000082,1,2,3,2013-04-05,0.6,0.8,2.8
102000083,0,1,2,2013-04-06,0.6,0.9,2.7
102000084,1,2,2,2013-04-08,0.6,1.0,2.7
102000085,0,2,3,2013-04-09,0.5,1.1,2.7
102000086,1,1,3,2013-04-10,0.6,1.1,2.7
102000087,2,1,3,2013-04-11,0.7,1.1,2.7
102000088,0,1,3,2013-04-12,0.7,1.2,2.7
102000089,0,2,2,2013-04-13,0.6,1.3,2.7
102000090,0,3,2,2013-04-15,0.6,1.6,2.6
102000091,0,1,3,2013-04-16,0.5,1.6,2.6
102000092,1,1,2,2013-04-17,0.5,1.5,2.5
102000093,0,1,3,2013-04-18,0.5,1.5,2.6
102000094,0,1,2,2013-04-19,0.4,1.4,2.6
102000095,0,1,4,2013-04-20,0.4,1.3,2.7
102000096,1,0,3,2013-04-22,0.4,1.2,2.7
102000097,0,1,4,2013-04-23,0.2,1.2,2.8
102000098,2,2,3,2013-04-24,0.4,1.3,2.8
102000099,1,0,2,2013-04-25,0.5,1.1,2.8
102000100,1,2,2,2013-04-26,0.6,1.0,2.8
102000101,0,1,2,2013-04-27,0.6,1.0,2.7
102000102,1,2,2,2013-04-29,0.6,1.1,2.7
102000103,0,0,3,2013-04-30,0.6,1.0,2.7
102000104,3,3,2,2013-05-01,0.9,1.2,2.7
102000105,1,0,3,2013-05-02,1.0,1.1,2.6
102000106,1,2,2,2013-05-03,1.0,1.3,2.5
102000107,0,3,3,2013-05-04,1.0,1.5,2.4
102000108,1,1,3,2013-05-06,0.9,1.4,2.4
102000109,0,2,2,2013-05-07,0.8,1.6,2.4
102000110,1,2,2,2013-05-08,0.8,1.6,2.4
102000111,2,0,3,2013-05-09,1.0,1.5,2.5
102000112,1,1,2,2013-05-10,1.0,1.4,2.5
102000113,1,1,3,2013-05-11,1.1,1.5,2.5
